web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,FoodEstablishment-priceRange-0,FoodEstablishment-PostalAddress-streetAddress-0,FoodEstablishment-AggregateRating-ratingValue-0,FoodEstablishment-name-0,Ranking in Santiago-0,Travellers' Choice Award-0,Restaurant Description-0,Features-0,Opening Hours-0
"1758755649-1","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","187. Rali Restaurant","https://www.tripadvisor.cl/Restaurant_Review-g294305-d10338102-Reviews-Rali_Restaurant-Santiago_Santiago_Metropolitan_Region.html","$","Calle Merced 830, Santiago 8320175 Chile","","Rali Restaurant","","","Rali es un restaurant ubicado en el corazón de Santiago, con hermosa decoración de artículos mapuches, en el podrás encontrar exquisitos platos de comida casera con menus diarios, hasta platos mas elaborados, tambien ofrece momentos dulces en sus desayunos y onces, ademas variedad en exquisitas empanadas y Churrascos. Rali abre sus puertas de Lunes a Viernes de 09:00 hasta las 20:00 hrs.","Opciones veganasCafé, Comida rápida, Chilena, Sudamericana",""
"1758755651-2","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","186. Hamburfactory","https://www.tripadvisor.cl/Restaurant_Review-g294305-d10433464-Reviews-Hamburfactory-Santiago_Santiago_Metropolitan_Region.html","$$ - $$$","Lastarria #95, Santiago Chile","","Hamburfactory","","","","Opciones veganasItaliana",""
"1758755654-3","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","185. Mirasoles - Restaurant Bar & Cafetería","https://www.tripadvisor.cl/Restaurant_Review-g294305-d8852855-Reviews-Mirasoles_Restaurant_Bar_Cafeteria-Santiago_Santiago_Metropolitan_Region.html","$","Tenderini 159, Santiago 8320232 Chile","","Mirasoles - Restaurant Bar & Cafetería","#1.411 de 3.950 restaurantes en Santiago","","Cafeteria y restaurant de comida casera. Preparada en el local. Sandwiches, tortas, kuchenes de excelente calidad. Café de grano italiano. Ubicado al costado del Teatro Municipal de Santiago","Opciones veganasDesayuno, Almuerzo, Cena, BebidasAsientos al aire libre","Del 8:45 al 19:00"
"1758755657-4","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","184. El Café de Martina","https://www.tripadvisor.cl/Restaurant_Review-g294305-d10125509-Reviews-El_Cafe_de_Martina-Santiago_Santiago_Metropolitan_Region.html","$","Orrego Luco 0130 Ubicado entre Av. Andrés Bello y Av. Providencia, Santiago 7510115 Chile","","El Café de Martina","#2.090 de 3.950 restaurantes en Santiago","","","Opciones veganasPizzería, Café, Comida callejera",""
"1758755661-5","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","183. Gorky Paellas","https://www.tripadvisor.cl/Restaurant_Review-g294305-d1126473-Reviews-Gorky_Paellas-Santiago_Santiago_Metropolitan_Region.html","$$ - $$$","Plaza Egaña, Santiago 8320000 Chile","4,7","Gorky Paellas","#542 de 3.950 restaurantes en Santiago","","La mejor Paella de Santiago. Pruebala en el local los dias Viernes al almuerzo o encargala cualquier dia para llevar o a domicilio.Ademas nuestra carta consta de una variedad de platos calientes como lasanas, carne mechada, quiche, ricas ensaladas y platos vegetarianos.De lunes a viernes tenemos un menu del dia a la hora de almuerzo, este incluye entrada, fondo, postre mas un jugo o un cafe espreso.Ademas tenemos exquisita pasteleria propia que puedes acompanar de nuestros excelentes te de hoja y cafe en grano.","Opciones veganasAlmuerzo, CenaComida para llevar, Entrega a domicilio","Del 9:00 al 21:00"
"1758755667-6","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","182. Marliz","https://www.tripadvisor.cl/Restaurant_Review-g294305-d7307969-Reviews-Marliz-Santiago_Santiago_Metropolitan_Region.html","$$ - $$$","Avenida Cristobal Colon, 6809, Santiago 8320000 Chile","3,8","Marliz","N.º 133 de 338 lugares de café y té en Santiago","","Café Marliz, inaugurado en el año 2010 en la comuna de Las Condes, en la Avenida Cristóbal Colón con Piacenza, alcanzando a lo largo de los años su reputación como una de las más exitosas cafeterías del sector y caracterizado desde el principio por su alta calidad. En la actualidad, Café Marliz, cuenta con unas 15 personas que trabajan diariamente para deleitar y servir a todos nuestros clientes con la más alta calidad y excelencia en sus productos. Somos un exquisito lugar de encuentro familiar y de amistad, ofreciendo excelencia en el servicio y desarrollando una fina y artesanal gama de productos de pastelería, helados y acompañados de una variedad de exquisitos tipos de café y todo ello en un ambiente de relajación y entretenimiento.","Opciones veganasPagos digitales, Solo pago en efectivo, Acepta tarjetas de crédito: American Express, Mastercard, VisaDesayuno, Brunch, Bebidas",""
"1758755670-7","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","181. Restaurante Neighbor","https://www.tripadvisor.cl/Restaurant_Review-g294305-d23399467-Reviews-Restaurante_Neighbor-Santiago_Santiago_Metropolitan_Region.html","$$ - $$$","Avenida Vitacura 5456, Santiago 7630629 Chile","","Restaurante Neighbor","#1.840 de 3.950 restaurantes en Santiago","","Nuevo restaurant de barrio que ofrece pollos de libre pastoreo marinados y asados al carbón. Al igual que las costillas BBQ; sin hormonas y sin marinar. original carta de la verdadera pizza estilo napolitana. Gran variedad de papas fritas y acompañamientos. Pescado fresco. Helados artesanales. restaurant que recibe mascotas y sustentable.","Opciones veganasAcepta tarjetas de créditoAlmuerzo, Cena, Abierto hasta tarde, Bebidas","Del 13:00 al 23:45"
"1758755673-8","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","180. Green Vitality","https://www.tripadvisor.cl/Restaurant_Review-g294305-d5994580-Reviews-Green_Vitality-Santiago_Santiago_Metropolitan_Region.html","","","","","","","","",""
"1758755675-9","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","179. Manouche Pizza Club","https://www.tripadvisor.cl/Restaurant_Review-g294305-d10159643-Reviews-Manouche_Pizza_Club-Santiago_Santiago_Metropolitan_Region.html","","","","","","","","",""
"1758755678-10","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","178. Falafel Asly","https://www.tripadvisor.cl/Restaurant_Review-g294305-d5298008-Reviews-Falafel_Asly-Santiago_Santiago_Metropolitan_Region.html","$","Avenida Las Condes 8400, Santiago 7560300 Chile","4,3","Falafel Asly","#673 de 3.950 restaurantes en Santiago","","","Apto para vegetarianos, Opciones veganas, KosherAlmuerzo, CenaComida para llevar, Entrega a domicilio","Del 12:00 al 21:00"
"1758755680-11","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","177. Café Isla Verde","https://www.tripadvisor.cl/Restaurant_Review-g294305-d7239174-Reviews-Cafe_Isla_Verde-Santiago_Santiago_Metropolitan_Region.html","","","","","","","","",""
"1758755683-12","https://www.tripadvisor.cl/FindRestaurants?geo=294305&diets=10697&broadened=false","","176. D'Fab","https://www.tripadvisor.cl/Restaurant_Review-g294305-d9558113-Reviews-D_Fab-Santiago_Santiago_Metropolitan_Region.html","$$ - $$$","Presidente Riesco 5537 Local 2, Santiago Chile","4,3","D'Fab","#1.023 de 3.950 restaurantes en Santiago","","","Apto para vegetarianos, Opciones veganasDesayuno, Almuerzo, BrunchComida para llevar","Del 8:00 al 19:30"
