Marca;Año ;Tipo de negocio ;Estado ;Región
Columna1;Columna2;Columna3;Columna4;Columna5
Mister Veggie;2009;Productos;registrada;RM 
Tentación vegana;2015;productos;registrada;RM 
GO! VEGAN;2016;productos y servicios;registrada;RM 
VEGGIEPOPS!;2016;productos;registrada;RM 
Carozzi Veggie;2016;productos;registrada;RM 
VIVO VEGGIE;2016;productos;registrada;RM 
VEGGIETIME;2016;productos;registrada;RM 
VEGGIECHOP;2016;productos;registrada ;RM 
VEGGIE ANIMALS PIENSO NATURAL PIENSA NATURAL;2017;productos y servicios;registrada;RM 
NAKED BERRY VEGGIE;2017; productos y/o servicios;registrada;RM 
E ECOTERRA VEGANESA;2018; productos y/o servicios;registrada;RM 
Veganópolis Chile;2018; productos y/o servicios;registrada;RM 
LA CASA DEL VEGAN;2018; productos y/o servicios;registrada;RM 
THE VEGETARIAN BUTCHER;2019; productos y/o servicios;registrada ;RM 
VEGAN V BeVeg!;2020; productos y/o servicios;registrada;RM 
VEGAN V BevVeg!;2020; productos y/o servicios;registrada;RM 
BIOVEGAN;2020; productos y/o servicios;registrada;RM 
VeganVega_;2020; productos y/o servicios;registrada;RM 
RECETA DEL ABUELO VEGAN BURGER;2020; productos y/o servicios;registrada;RM 
Vive Vegano;2020; productos y/o servicios;registrada;RM 
Veganfit;2020; productos y/o servicios;registrada;RM 
Entre Veganos & Celíacos;2020; productos y/o servicios;registrada;RM 
VEGAN FORMULA;2020; productos y/o servicios;registrada;RM 
VEGAN;2020; productos y/o servicios;registrada;RM 
VEGGIELAND;2020; productos y/o servicios;registrada;RM 
Veggie Deli;2020; productos y/o servicios;registrada;RM 
GREEN AND VEGGIE;2020; productos y/o servicios;registrada;RM 
Veggie sol;2020; productos y/o servicios;registrada;RM 
BLOODY VEGGIE;2020; productos y/o servicios;registrada;RM 
NATURE COMPLEX VEGGIE MILKE;2020; productos y/o servicios;registrada;RM 
Plant Based TAYO;2020; productos y/o servicios;registrada;RM 
VEGS HOLY MOLY;2020; productos y/o servicios;registrada;RM 
Vegan Dealer;2021; productos y/o servicios;registrada;RM 
HAPPY VEGAN;2021; productos y/o servicios;registrada;RM 
VEGAN FOX GOOD BURGER;2021; productos y/o servicios;registrada;R DE LOS LAGOS
V DE VEGANO;2021; productos y/o servicios;registrada;RM 
Vegan Brothers;2021; productos y/o servicios;registrada;R DEL BIOBIO
El Tio Vegano maestro con sabor;2021; productos y/o servicios;registrada;RM 
VEGANO SAURIOS;2021; productos y/o servicios;registrada;RM 
BANDITO VEGAN;2021; productos y/o servicios;registrada;RM 
THE GOOD VEGAN;2021; productos y/o servicios;registrada;R DE VALPARAÍSO
MISTER SABOR;2021; productos y/o servicios;registrada;RM 
UN RINCÓN VEGANO;2021; productos y/o servicios;registrada;RM 
VEGGIE MANÍA;2021; productos y/o servicios;registrada;RM 
VEGGIE LUNCH V.C.H FELICIDAD ALIMENTICIA;2021; productos y/o servicios;registrada;RM 
LA GLORIOSA VEGGIE;2021; productos y/o servicios;registrada;R MAGALLANES
#LA PARRILLA VEGGIE;2021; productos y/o servicios;registrada;RM 
VIVO FRUTA & VEGGIE;2021; productos y/o servicios;registrada;RM 
AV AMORE VEGANO;2022; productos y/o servicios;registrada;RM 
mis amigos veganos;2022; productos y/o servicios;registrada;R LIBERTADOR
Vegan Summer;2022; productos y/o servicios;registrada;RM 
VEGAN MOBILE;2022; productos y/o servicios;registrada;RM 
RECETA DEL ABUELO VEGAN BIF;2022; productos y/o servicios;registrada;R MAULE
VEGAN PLACE;2022; productos y/o servicios;registrada;RM 
Big Vegan ;2022; productos y/o servicios;registrada;RM 
Frutos del Maipo Plant Based Veggie;2022; productos y/o servicios;registrada;RM 
Frutos del Maipo Veggie;2022; productos y/o servicios;registrada;RM 
Natyk Plant Based Foods;2022; productos y/o servicios;registrada;RM 
BBV Bueno Bonito Vegano;2023; productos y/o servicios;registrada;RM 
VEGANPOWER;2023; productos y/o servicios;registrada;RM 
Quokka productos veganos;2023; productos y/o servicios;registrada;RM 
VIVO NÉCTAR FRUTAS & VEGGIE;2023; productos y/o servicios;registrada;RM 
Sushi vegano gato verde;2024; productos y/o servicios;registrada;RM 
VeganFresh! Heladería consciente;2024; productos y/o servicios;registrada;RM 
MISTER VEGGIE;2024; productos y/o servicios;registrada;RM 
