Dirección,Latitud,Longitud
"Calle Merced 830, Santiago 8320175 Chile",-33.4384124,-70.6488671
"Orrego Luco 0130 Ubicado entre Av. Andrés Bello y Av. Providencia, Santiago 7510115 Chile",-33.4280179,-70.6184062
"Pl. Egaña, 7790758 Ñuñoa, Región Metropolitana",-33.4526282,-70.5716941
"Avenida Cristobal Colon, 6809, Santiago 8320000 Chile",-33.4177136,-70.5583585
"Avenida Vitacura 5456, Santiago 7630629 Chile",-33.3949265,-70.5797546
"Teatinos 432, 8340349 Santiago, Región Metropolitana",-33.4386099,-70.6555314
"Bombero Nunez #231, Santiago 8420432 Chile",-33.4314265,-70.6395093
"Avenida Las Condes 8400, Santiago 7560300 Chile",-33.396594,-70.5503613
"Dr. Johow 889-a, Ñuñoa, Región Metropolitana",-33.463406,-70.5944147
"Huerfanos 3020, Santiago, Santiago 8350526 Chile",-33.4424818,-70.6768279
"Providencia 2546, Santiago 8320000 Chile",-33.41891,-70.6037383
"Av. Pedro de Valdivia 0129, 7501012 Providencia, Región Metropolitana",-33.4224167,-70.61324
"Presidente Kennedy 5413 Mall Parque Arauco, Santiago 8320000 Chile",-33.4019302,-70.5785698
"Avenida Andrés Bello 2447 Local 512 (Mall Costanera Center), Santiago 8320000 Chile",-33.4178145,-70.6077984
"Avenida Apoquindo 3161 Local 17, Santiago 7550217 Chile",-33.4171937,-70.5966023
"Santa Isabel 429, Santiago Chile",-33.44639,-70.62551
"Holanda 3362, 7790927 Ñuñoa, Región Metropolitana",-33.4494341,-70.5956983
"Esmeralda 716, 8320049 Santiago, Región Metropolitana",-33.4347095,-70.6477905
"Av Vitacura 5480, 7630628 Vitacura, Región Metropolitana",-33.3942658,-70.5790152
"Los Piñones 43, Santiago 8320000 Chile",-33.4283616,-70.6259084
"Av. Italia 1228 Esquina Santa Isabel, Santiago 4810721 Chile",-33.445953,-70.625076
"Avenida Italia 1423 Providencia, Santiago 7501464 Chile",-33.447662,-70.625001
"Av. Los Conquistadores 2248 Providencia, Santiago 8320000 Chile",-33.4174719,-70.6139415
"Av. Chicureo 3100 Strip Center Valle Hermoso, Colina, local 15, Santiago 8320000 Chile",-33.2868241,-70.6691988
"San Ignacio De Loyola 30, Santiago 8330180 Chile",-33.4461918,-70.6570903
"avda pdte kennedy 5413 pque Arauco, Santiago Chile",-33.4019302,-70.5785698
"Avenida Providencia 1467, Santiago 7500564 Chile",-33.427994,-70.6178745
"Avenida Andres Bello 2447 Mall Costanera Center, Santiago 7510689 Chile",-33.4179935,-70.6063901
"Isidora Goyenechea 3000 S-101 Plaza Perú, Santiago 7550653 Chile",-33.4146939,-70.5970295
Pedro Aguirre Cerda #50,-33.4940753,-70.6764992
"Santa Magdalena,134, Santiago Chile",-33.4202668,-70.609997
"Huerfanos 1460 Intendente Cousiño 263, Santiago 8340431 Chile",-33.4405223,-70.6572757
"Las Catalpas 1522, 7630578 Santiago, Vitacura, Región Metropolitana",-33.4066621,-70.5984939
"Antonia lopez de Bello 743 Local 235, Santiago Chile",-33.4299292,-70.6489507
"Macul 2620, Santiago Chile",-33.4787127,-70.5987908
"Av. Francisco Bilbao 2512 Las Condes, entre calles Roger de Flor y Don Carlos, Santiago 7760000 Chile",-33.4362701,-70.5985083
"Las Urbinas 53, Santiago 7510093 Chile",-33.4222808,-70.6117332
"Av. Nueva Providencia 1346, 7500589 Providencia, Región Metropolitana",-33.428905,-70.61852
"Av. Padre Hurtado Sur 875, 7571626 Las Condes, Región Metropolitana",-33.4149579,-70.5406091
"Dentro de la plaza, del lado de - Av. Providencia 1669, 7500540 Providencia, Región Metropolitana",-33.4268493,-70.6153452
"Huerfanos 3025 Santiago Centro, Santiago Chile",-33.4423008,-70.6766815
"Pérez Valenzuela, 1687, Santiago 8320000 Chile",-33.423947,-70.6185424
"Avenida Italia 975, Santiago 7501184 Chile",-33.4437027,-70.6260698
"Julio Prado 765 Julio prado con, Dr. Torres Boonen, 7501072 Providencia, Región Metropolitana",-33.4397346,-70.6231002
"Avenida Ricardo Cumming 643, Santiago 8340300 Chile",-33.43742,-70.6684356
"Echeñique 4844, Ñuñoa El Taller Blanco, Santiago 7790389 Chile",-33.4464998,-70.5805028
"Avenida Apoquindo, 3910, Santiago 8320000 Chile",-33.4150644,-70.5895654
"Geronimo de Alderete 1595, Santiago 8320000 Chile",-33.3881258,-70.5642503
"Guardia Vieja 156, Providencia, Santiago Con intersección Calle Diego de Velasquez, Santiago Chile",-33.4240007,-70.610052
"Reyes Lavalle 3240 Near Metro El Golf - Las Condes, Santiago 7550142 Chile",-33.415655,-70.5964486
"Avenida Manuel Montt 183 Local 2 Providencia, Santiago 7500599 Chile",-33.4305078,-70.6194677
"Padre Alfredo Arteaga Barros 1831, Santiago 7690000 Chile",-33.3528671,-70.5103943
"Irarrázaval 689, Santiago Chile",-33.4531485,-70.6238362
"Antonia López de Bello 244 Barrio Bellavista, Santiago 8320000 Chile",-33.4317713,-70.6432426
"Las Urbinas 44/56, Santiago 8320000 Chile",-33.422617,-70.6121116
"Condell 1315, Providencia, Santiago 7500000 Chile",-33.4468596,-70.6260102
"Avenida Vitacura 3187, Santiago Chile",-33.4072594,-70.5993273
"Dr. Manuel Barros Borgoño 81 Barrio Manuel Montt, Santiago 7500000 Chile",-33.4296614,-70.6190048
"Av. Providencia 1984, 7500000 Providencia, Región Metropolitana",-33.4237087,-70.6128701
"Batlle y Ordonez 4385 Nunoa, Santiago 8320000 Chile",-33.4517655,-70.5850845
"Magdalena 181, Santiago 8320000 Chile",-33.4135184,-70.5935436
"Gral. Salvo 38, 7500 669, 7500669 Providencia, Región Metropolitana",-33.4334369,-70.625374
"Av. Vitacura 2727 DoubleTree by Hilton Hotel Santiago - Vitacura, Santiago 7550690 Chile",-33.4157816,-70.6039201
"Lo Marcoleta # 261, Quilicura 22, 6277625 Santiago, Región Metropolitana",-33.3580507,-70.7312413
"Costanera Sur S.J.E. de Balaguer 6400, 7640859 Vitacura, Región Metropolitana",-33.3816821,-70.579387
"Octava Avenida 1201 San Miguel, Santiago 8920441 Chile",-33.5104162,-70.6601808
"Irarrázaval 1820, Santiago 7750000 Chile",-33.4531416,-70.6120141
"Av. La Dehesa 3265, 7700239 Santiago, Lo Barnechea, Región Metropolitana",-33.3419768,-70.5209583
"General Holley 2368, Santiago 7510019 Chile",-33.4193825,-70.6074724
"Antonia López de Bello 307, 8420411 Recoleta, Región Metropolitana",-33.4315407,-70.6438592
"Av. Italia 1449, 7501464 Providencia, Región Metropolitana",-33.4478626,-70.6249557
"Ismael Valdes Vergara 490 Barrio Bellas Artes, Santiago 8320075 Chile",-33.435547,-70.643538
"Jose Miguel de La Barra 486, Santiago 8320110 Chile",-33.4367652,-70.6436824
"Holanda 067 Local 103, Santiago Chile",-33.4183862,-70.6040309
"Merced 483, Santiago 8320000 Chile",-33.4377063,-70.6440697
"Fresia 529, Santiago 8320000 Chile",-33.4919631,-70.7111435
"Avenida Providencia 1975, Santiago 22318941 Chile",-33.4241055,-70.6128145
"Merced 294 The Singular Hotels, Barrio Lastarria, Santiago 8320128 Chile",-33.4372601,-70.6407144
"Avenida General Bustamante 50, Santiago 7500776 Chile",-33.4386691,-70.6320877
"Mallinkrodt 170, Santiago 7520362 Chile",-33.4323852,-70.6337494
"Huerfanos 2460, Santiago Chile",-33.4418706,-70.6707918
"Avenida Tobalaba 1799, Santiago 7510447 Chile",-33.4293881,-70.5876901
"Profesora Amanda Labarca, 102, Santiago Chile",-33.4421661,-70.6556363
"Av. Manuel Montt 925, Santiago 7500981 Chile",-33.4365033,-70.6164707
"Isidora Goyenechea 2960 esquina San Sebastian, Santiago 7550057 Chile",-33.4139799,-70.5999095
"Av Manuel Montt 231, Santiago Chile",-33.4308241,-70.6191463
"Huelén 74 Providencia, Santiago 8320000 Chile",-33.4316352,-70.6228162
"Merced 537, Santiago Chile",-33.4377555,-70.6448413
